Syracuse University,eng-cs.syr.edu/
The University of Alabama,cs.ua.edu/
SUTD,https://istd.sutd.edu.sg/about/
Utah State University,https://cs.usu.edu/
New York University,https://cs.nyu.edu/
Masaryk University,https://www.muni.cz/en/about-us/organizational-structure/institute-of-computer-science
University of Nevada Las Vegas,https://www.unlv.edu/cs
Simon Fraser University,http://www.sfu.ca/computing.html
Duke University,https://www.cs.duke.edu/
University of California - Berkeley,https://eecs.berkeley.edu/
Universidad de los Andes,https://uniandes.edu.co/en
University of Houston,www.uh.edu/nsm/computer-science/
University of Nebraska,https://cse.unl.edu/
University of Bath,https://www.bath.ac.uk/departments/department-of-computer-science/
IIT Kanpur,https://www.cse.iitk.ac.in/
Hacettepe University,https://www.cs.hacettepe.edu.tr/
Istanbul Technical University,www.bb.itu.edu.tr/en
Middle East Technical University,https://ceng.metu.edu.tr/
USTC,https://cs.ustc.edu.cn/
University of Connecticut,www.cse.uconn.edu/
UFMS,https://ingresso.ufms.br/formas-de-ingresso/vestibular/
University of Canterbury,https://www.canterbury.ac.nz/study/subjects/computer-science/
Boston University,www.bu.edu/cs/
University of Pisa,https://www.di.unipi.it/en/
Iowa State University,https://www.cs.iastate.edu/
Cornell University,https://www.cs.cornell.edu/
University of Cambridge,https://www.cst.cam.ac.uk/
University of Buenos Aires,studyargentina.com/graduate-computer-sciences-university-buenos-aires.html
Illinois Institute of Technology,https://science.iit.edu/computer-science
Shanghai Jiao Tong University,www.cs.sjtu.edu.cn/en/Faculty.aspx
University of Central Florida,https://www.cs.ucf.edu/
National Taiwan University,www.ntu.edu.tw/english/academics/academics_electrical.html
PUC-RS,https://github.com/pucrs-ai-cs
University of Georgia,https://www.cs.uga.edu/facultystaff
Ecole Normale Superieure de Lyon,www.ens-lyon.fr/DI/?lang=en
Universidad Rey Juan Carlos,https://www.urjc.es/en/international/erasmus-mobility
Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/
Mississippi State University,http://www.cse.msstate.edu/
University of Amsterdam,http://www.uva.nl/en/programmes/masters/computer-science/computer-science.html
University of Bristol,www.cs.bris.ac.uk/
University of Nevada,https://www.unr.edu/cse
Indiana State University,cs.indstate.edu/
Tulane University,www2.tulane.edu/sse/cs/faculty/
DePaul University,https://www.cdm.depaul.edu/about/Pages/School-of-Computing.aspx
University of Louisville,louisville.edu/speed/computer/
Universidad de Chile,http://ingenieria.uchile.cl/english-version/departments/97201/computer-sciences
Kent State University,https://www.kent.edu/admissions/undergraduate/computer-science
University of Sydney,https://sydney.edu.au/courses/subject-areas/major/computer-science3.html
VU Amsterdam,https://www.cs.vu.nl/
University of South Florida,https://www.usf.edu/engineering/cse/
University of Auckland,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/computer-science.html
Tilburg University,https://www.tilburguniversity.edu/education/masters-programmes/communication-and-information-sciences
IIT Mandi,www.iitmandi.ac.in/Schools/SCEE/
University of Arkansas,https://computer-science-and-computer-engineering.uark.edu/
Yıldız Technical University,www.yildiz.edu.tr/en/
University of Oklahoma,www.ou.edu/coe/cs/people
University of Groningen,https://www.rug.nl/bachelors/computing-science/?lang=en
University of York,https://www.cs.york.ac.uk/
University of New Hampshire,https://ceps.unh.edu/computer-science
McGill University,https://www.cs.mcgill.ca/
Dalhousie University,https://www.dal.ca/faculty/computerscience.html
Kansas State University,https://www.cs.ksu.edu/
Florida State University,https://www.cs.fsu.edu/
University of British Columbia,https://www.grad.ubc.ca/unit/department-computer-science
Michigan Technological University,https://www.mtu.edu/cs/graduate/computer-science/
Nanyang Technological University,scse.ntu.edu.sg/
Maastricht University,https://www.maastrichtuniversity.nl/meta/328535/computer-science
University of Massachusetts Lowell,https://www.uml.edu/sciences/computer-science/
University of Jordan,http://computer.ju.edu.jo/Departments/Home.aspx?DeptName=Computer%20Science
University of California - Davis,https://www.cs.ucdavis.edu/
University of Adelaide,https://ecms.adelaide.edu.au/computer-science
Case Western Reserve University,https://engineering.case.edu/eecs/academics/undergraduate-program/computer_science
Nova Southeastern University,https://cec.nova.edu/masters/cisc/index.html
Koç University,https://eng.ku.edu.tr/en/academics/computer-engineering/
Louisiana Tech University,https://coes.latech.edu/undergraduate-programs/computer-science/
TU Braunschweig,https://www.tu-braunschweig.de/informatik
Northeastern University,https://www.khoury.northeastern.edu/
Universidade de Lisboa,https://tecnico.ulisboa.pt/en/tag/computer-science/
Virginia Commonwealth University,https://egr.vcu.edu/departments/computer/
Lehigh University,http://catalog.lehigh.edu/coursesprogramsandcurricula/engineeringandappliedscience/computerscienceandengineering/
University of Wyoming,www.uwyo.edu/cosc/
IUPUI,https://cs.iupui.edu/
IIT Bhubaneswar,www.iitbbs.ac.in/news.php?id=592
Brigham Young University,https://cs.byu.edu/
University of Salerno,https://www.di.unisa.it/en
University of California - Los Angeles,https://www.cs.ucla.edu/
USP-ICMC,https://www.icmc.usp.br/
University of California - Riverside,https://www1.cs.ucr.edu/
Chinese University of Hong Kong,www.cse.cuhk.edu.hk/
University of Sannio,https://bachelor.undergraduatestudy.eu/serwis.php?s=3304&pok=68672&pa=147&kg=16
Vanderbilt University,https://engineering.vanderbilt.edu/eecs/
McMaster University,https://www.eng.mcmaster.ca/cas
NJIT,https://cs.njit.edu/
Chinese Academy of Sciences,english.is.cas.cn/
Stevens Institute of Technology,https://www.stevens.edu/schaefer-school-engineering-science/departments/computer-science
Carnegie Mellon University,https://www.cs.cmu.edu/
Western Michigan University,https://wmich.edu/cs/directory/faculty
University of Pennsylvania,www.cis.upenn.edu/
Max Planck Institute,https://www.cis.mpg.de/
Old Dominion University,https://www.odu.edu/compsci
Middlesex University,https://www.mdx.ac.uk/courses/undergraduate/computer-science
George Mason University,https://cs.gmu.edu/prospective-students/ms-programs/ms-in-cs/
University of Memphis,https://www.memphis.edu/cs/
TU Eindhoven,https://www.tue.nl/en/university/departments/mathematics-and-computer-science/
King Abdulaziz University,https://computing.kau.edu.sa/Default.aspx?Site_ID=611&Lng=EN
Rochester Institute of Technology,https://www.cs.rit.edu/
Univ. of Colorado Colorado Springs,www.uccs.edu/cs/
National University of Singapore,https://www.comp.nus.edu.sg/about/depts/cs/
IIT Gandhinagar,https://cs.iitgn.ac.in/
TU Dresden,https://tu-dresden.de/ing/informatik?set_language=en
University of Calgary,https://www.ucalgary.ca/future-students/undergraduate/explore-programs/computer-science
Lund University,https://www.lunduniversity.lu.se/lucat/group/v1000234
Northwestern University,https://www.mccormick.northwestern.edu/computer-science/
RWTH Aachen,http://www.rwth-aachen.de/cms/root/Studium/Vor-dem-Studium/Studiengaenge/Liste-Aktuelle-Studiengaenge/Studiengangbeschreibung/~bcfg/Informatik-M-Sc/?lidx=1
Norwegian University of Science and Technology,https://www.ntnu.edu/idi
IMDEA Software Institute,https://software.imdea.org/contact_and_directions/location.html
University of Melbourne,https://cis.unimelb.edu.au/
Universidade Federal de Viçosa,https://www.ufv.br/
Boston College,https://www.bc.edu/bc-web/schools/mcas/departments/computer-science.html
BITS Pilani,www.bits-pilani.ac.in/uploads/BE%20_Hons_cs.pdf
Univ. of Maryland - Baltimore County,https://www.csee.umbc.edu/
Emory University,www.mathcs.emory.edu/
University of Warsaw,informatorects.uw.edu.pl/en/programmes-all/IN/
NYU Shanghai,https://shanghai.nyu.edu/academics/majors/computer-science
KAIST,https://cs.kaist.ac.kr/
Boise State University,coen.boisestate.edu/cs/
Wayne State University,engineering.wayne.edu/cs/
Tel Aviv University,https://en-exact-sciences.tau.ac.il/computer
University of Athens,www.di.uoa.gr/eng
UNC - Charlotte,https://cci.uncc.edu/computer-science/45/5
LUMS,https://lums.edu.pk/programmes/bs-computer-science
Imperial College London,www.imperial.ac.uk/computing
University of Washington,https://www.cs.washington.edu/
Ariel University,www.ariel.ac.il/cs/en
University of California - Santa Barbara,https://www.cs.ucsb.edu/
Rensselaer Polytechnic Institute,https://science.rpi.edu/computer-science
Florida Institute of Technology,https://cs.fit.edu/
POSTECH,https://cse.postech.ac.kr/
Columbia University,www.cs.columbia.edu/people/faculty/
Izmir Institute of Technology,https://www.masterstudies.com/universities/Turkey/IZTECH/
University of Passau,www.uni-passau.de/en/msc-computer-science/
University of Maine,https://umaine.edu/cs/
Hanyang University,https://www.hanyang.ac.kr/web/eng/s115
University of North Carolina,https://cs.unc.edu/
North Carolina State University,https://www.csc.ncsu.edu/
IISc Bangalore,https://www.csa.iisc.ac.in/
University of Dundee,https://www.dundee.ac.uk/study/ug/computing-science/
Ryerson University,https://www.ryerson.ca/programs/undergraduate/computer-science/
Florida International University,https://www.cis.fiu.edu/
Claremont Graduate University,https://www.cgu.edu/school/center-for-information-systems-and-technology/
California Institute of Technology,www.cms.caltech.edu/
University of Texas at Austin,https://www.cs.utexas.edu/
Stony Brook University,https://www.cs.stonybrook.edu/
CUNY,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science
Bar-Ilan University,https://cs.biu.ac.il/en
University of New Orleans,new.uno.edu/academics/cos/computer-science/computer-science-ms
University of Tokyo,https://www.is.s.u-tokyo.ac.jp/english/
Fudan University,www.cs.fudan.edu.cn/en/
University of Miami,www.cs.miami.edu/
Colorado School of Mines,https://cs.mines.edu/
University of Konstanz,https://www.informatik.uni-konstanz.de/en/
affiliation,https://www.cs.cornell.edu/undergrad/uadmis/becoming-cs-major
Harbin Institute of Technology,en.hit.edu.cn/
University of Saskatchewan,https://www.cs.usask.ca/
University of Montreal,https://en.diro.umontreal.ca/
Dartmouth College,https://web.cs.dartmouth.edu/undergraduate
Michigan State University,https://www.cse.msu.edu/
University of Minnesota,https://www.cs.umn.edu/
University of Technology Sydney,https://www.uts.edu.au/future-students/information-technology/computer-science-data-analyticsmining
University of Freiburg,www.informatik.uni-freiburg.de/front-page-en?set_language=en
University of Utah,www.cs.utah.edu/
University of Nebraska - Omaha,https://www.unomaha.edu/college-of-information-science-and-technology/computer-science/index.php
American University of Beirut,https://www.aub.edu.lb/fas/cs
IIIT Delhi,https://www.iiitd.ac.in/academics/btech/csd
TU Darmstadt,https://www.informatik.tu-darmstadt.de/fb20/index.en.jsp
CMI,https://en.wikipedia.org/wiki/Chennai_Mathematical_Institute
Carleton University,https://admissions.carleton.ca/programs/computer-science/
University of Alabama - Huntsville,https://www.uah.edu/science/departments/computer-science/faculty-staff
Helsinki University,https://www.helsinki.fi/en/computer-science
Brown University,https://cs.brown.edu/
University of Glasgow,https://www.gla.ac.uk/schools/computing/
Texas A&M at Qatar,https://engineering.tamu.edu/cse/index.html
IST Austria,https://ist.ac.at/research/mathematics-and-computer-science/
University of Massachusetts Boston,https://www.cs.umb.edu/
Monash University,https://www.monash.edu/it
Humboldt University of Berlin,https://www.informatik.hu-berlin.de/en/standardseite-en
Tsinghua University,https://www.tsinghua.edu.cn/publish/csen/index.html
Università della Svizzera italiana,https://www.inf.usi.ch/en
University of California - Irvine,catalogue.uci.edu/donaldbrenschoolofinformationandcomputersciences/departmentofcomputerscience/
Sabancı University,https://cs.sabanciuniv.edu/
